frame_index,source_frame_index,time_s,detection_count,active_track_count,tube_1_detections,tube_1_active_tracks,tube_2_detections,tube_2_active_tracks,tube_3_detections,tube_3_active_tracks,tube_4_detections,tube_4_active_tracks,unique_threshold_crossings_total,tube_1_threshold_px,tube_2_threshold_px,tube_3_threshold_px,tube_4_threshold_px
0,0,0.0,6,6,1,1,1,1,4,4,0,0,0,434.0,423.0,410.0,405.0
1,1,0.2,7,7,1,1,1,1,5,5,0,0,0,434.0,423.0,410.0,405.0
2,2,0.4,5,5,0,0,0,0,5,5,0,0,0,434.0,423.0,410.0,405.0
3,3,0.6,6,6,1,1,0,0,5,5,0,0,0,434.0,423.0,410.0,405.0
4,4,0.8,5,5,0,0,0,0,5,5,0,0,0,434.0,423.0,410.0,405.0
5,5,1.0,6,6,1,1,0,0,5,5,0,0,0,434.0,423.0,410.0,405.0
6,6,1.2,5,5,0,0,0,0,5,5,0,0,0,434.0,423.0,410.0,405.0
7,7,1.4,6,6,1,1,0,0,5,5,0,0,0,434.0,423.0,410.0,405.0
8,8,1.6,7,7,2,2,0,0,5,5,0,0,0,434.0,423.0,410.0,405.0
9,9,1.8,6,6,2,2,0,0,4,4,0,0,0,434.0,423.0,410.0,405.0
10,10,2.0,4,4,0,0,0,0,4,4,0,0,0,434.0,423.0,410.0,405.0
11,11,2.2,7,7,2,2,0,0,5,5,0,0,0,434.0,423.0,410.0,405.0
12,12,2.4,9,9,2,2,1,1,6,6,0,0,0,434.0,423.0,410.0,405.0
13,13,2.6,10,10,3,3,1,1,6,6,0,0,0,434.0,423.0,410.0,405.0
14,14,2.8,8,8,2,2,0,0,6,6,0,0,0,434.0,423.0,410.0,405.0
15,15,3.0,7,7,1,1,0,0,6,6,0,0,0,434.0,423.0,410.0,405.0
16,16,3.2,7,7,1,1,0,0,6,6,0,0,0,434.0,423.0,410.0,405.0
17,17,3.4,9,9,3,3,0,0,6,6,0,0,1,434.0,423.0,410.0,405.0
18,18,3.6,7,7,1,1,0,0,6,6,0,0,1,434.0,423.0,410.0,405.0
19,19,3.8,8,8,2,2,0,0,6,6,0,0,1,434.0,423.0,410.0,405.0
20,20,4.0,7,7,1,1,0,0,6,6,0,0,1,434.0,423.0,410.0,405.0
21,21,4.2,7,7,1,1,0,0,6,6,0,0,1,434.0,423.0,410.0,405.0
22,22,4.4,8,8,2,2,0,0,6,6,0,0,2,434.0,423.0,410.0,405.0
23,23,4.6,7,7,1,1,0,0,6,6,0,0,2,434.0,423.0,410.0,405.0
24,24,4.8,7,7,1,1,0,0,6,6,0,0,2,434.0,423.0,410.0,405.0
25,25,5.0,7,7,1,1,0,0,6,6,0,0,3,434.0,423.0,410.0,405.0
26,26,5.2,7,7,1,1,0,0,6,6,0,0,3,434.0,423.0,410.0,405.0
27,27,5.4,7,7,1,1,0,0,6,6,0,0,3,434.0,423.0,410.0,405.0
28,28,5.6,6,6,0,0,0,0,6,6,0,0,3,434.0,423.0,410.0,405.0
29,29,5.8,5,5,0,0,0,0,5,5,0,0,3,434.0,423.0,410.0,405.0
30,30,6.0,5,5,0,0,0,0,5,5,0,0,3,434.0,423.0,410.0,405.0
31,31,6.2,5,5,0,0,0,0,5,5,0,0,3,434.0,423.0,410.0,405.0
32,32,6.4,6,6,1,1,0,0,5,5,0,0,3,434.0,423.0,410.0,405.0
33,33,6.6,6,6,1,1,0,0,5,5,0,0,3,434.0,423.0,410.0,405.0
34,34,6.8,6,6,1,1,0,0,5,5,0,0,4,434.0,423.0,410.0,405.0
35,35,7.0,7,7,1,1,0,0,6,6,0,0,4,434.0,423.0,410.0,405.0
36,36,7.2,8,8,2,2,1,1,5,5,0,0,4,434.0,423.0,410.0,405.0
37,37,7.4,7,7,1,1,1,1,5,5,0,0,4,434.0,423.0,410.0,405.0
38,38,7.6,7,7,1,1,1,1,5,5,0,0,4,434.0,423.0,410.0,405.0
39,39,7.8,6,6,1,1,0,0,5,5,0,0,4,434.0,423.0,410.0,405.0
40,40,8.0,6,6,1,1,0,0,5,5,0,0,4,434.0,423.0,410.0,405.0
41,41,8.2,6,6,1,1,0,0,5,5,0,0,4,434.0,423.0,410.0,405.0
42,42,8.4,6,6,1,1,0,0,5,5,0,0,4,434.0,423.0,410.0,405.0
43,43,8.6,6,6,1,1,0,0,5,5,0,0,4,434.0,423.0,410.0,405.0
44,44,8.8,6,6,1,1,0,0,5,5,0,0,4,434.0,423.0,410.0,405.0
45,45,9.0,7,7,2,2,0,0,5,5,0,0,4,434.0,423.0,410.0,405.0
46,46,9.2,6,6,1,1,0,0,5,5,0,0,4,434.0,423.0,410.0,405.0
47,47,9.4,6,6,1,1,0,0,5,5,0,0,4,434.0,423.0,410.0,405.0
48,48,9.6,7,7,2,2,0,0,5,5,0,0,4,434.0,423.0,410.0,405.0
49,49,9.8,9,9,4,4,0,0,5,5,0,0,4,434.0,423.0,410.0,405.0
