frame_index,source_frame_index,time_s,detection_count,active_track_count,tube_1_detections,tube_1_active_tracks,tube_2_detections,tube_2_active_tracks,tube_3_detections,tube_3_active_tracks,tube_4_detections,tube_4_active_tracks,unique_threshold_crossings_total,tube_1_threshold_px,tube_2_threshold_px,tube_3_threshold_px,tube_4_threshold_px
0,0,0.0,23,18,15,10,4,4,1,1,3,3,0,501.0,498.0,497.0,500.0
1,1,0.2,17,15,9,7,4,4,2,2,2,2,0,501.0,498.0,497.0,500.0
2,2,0.4,19,15,10,6,4,4,2,2,3,3,0,501.0,498.0,497.0,500.0
3,3,0.6,20,17,11,8,4,4,2,2,3,3,0,501.0,498.0,497.0,500.0
4,4,0.8,11,11,1,1,6,6,2,2,2,2,0,501.0,498.0,497.0,500.0
5,5,1.0,10,10,1,1,6,6,1,1,2,2,0,501.0,498.0,497.0,500.0
6,6,1.2,10,10,1,1,6,6,1,1,2,2,0,501.0,498.0,497.0,500.0
7,7,1.4,9,9,1,1,4,4,1,1,3,3,0,501.0,498.0,497.0,500.0
8,8,1.6,9,9,1,1,4,4,1,1,3,3,0,501.0,498.0,497.0,500.0
9,9,1.8,8,8,1,1,4,4,1,1,2,2,0,501.0,498.0,497.0,500.0
10,10,2.0,8,8,1,1,4,4,1,1,2,2,0,501.0,498.0,497.0,500.0
11,11,2.2,9,9,1,1,4,4,2,2,2,2,0,501.0,498.0,497.0,500.0
12,12,2.4,8,8,1,1,4,4,1,1,2,2,0,501.0,498.0,497.0,500.0
13,13,2.6,9,9,1,1,4,4,1,1,3,3,0,501.0,498.0,497.0,500.0
14,14,2.8,8,8,1,1,4,4,1,1,2,2,0,501.0,498.0,497.0,500.0
15,15,3.0,8,8,1,1,4,4,1,1,2,2,0,501.0,498.0,497.0,500.0
16,16,3.2,8,8,1,1,4,4,1,1,2,2,0,501.0,498.0,497.0,500.0
17,17,3.4,9,9,1,1,4,4,1,1,3,3,0,501.0,498.0,497.0,500.0
18,18,3.6,11,11,1,1,4,4,2,2,4,4,0,501.0,498.0,497.0,500.0
19,19,3.8,10,10,1,1,4,4,1,1,4,4,1,501.0,498.0,497.0,500.0
20,20,4.0,11,11,1,1,4,4,2,2,4,4,1,501.0,498.0,497.0,500.0
21,21,4.2,11,11,1,1,4,4,2,2,4,4,1,501.0,498.0,497.0,500.0
22,22,4.4,10,10,1,1,4,4,1,1,4,4,1,501.0,498.0,497.0,500.0
23,23,4.6,11,11,1,1,4,4,1,1,5,5,2,501.0,498.0,497.0,500.0
24,24,4.8,12,12,1,1,5,5,1,1,5,5,2,501.0,498.0,497.0,500.0
25,25,5.0,12,12,1,1,5,5,1,1,5,5,3,501.0,498.0,497.0,500.0
26,26,5.2,12,12,1,1,5,5,1,1,5,5,3,501.0,498.0,497.0,500.0
27,27,5.4,12,12,1,1,5,5,2,2,4,4,3,501.0,498.0,497.0,500.0
28,28,5.6,11,11,1,1,5,5,2,2,3,3,3,501.0,498.0,497.0,500.0
29,29,5.8,11,11,1,1,5,5,2,2,3,3,3,501.0,498.0,497.0,500.0
30,30,6.0,12,12,1,1,5,5,3,3,3,3,3,501.0,498.0,497.0,500.0
31,31,6.2,10,10,1,1,4,4,2,2,3,3,3,501.0,498.0,497.0,500.0
32,32,6.4,8,8,1,1,4,4,1,1,2,2,3,501.0,498.0,497.0,500.0
33,33,6.6,10,10,1,1,5,5,1,1,3,3,3,501.0,498.0,497.0,500.0
34,34,6.8,11,11,1,1,5,5,1,1,4,4,3,501.0,498.0,497.0,500.0
35,35,7.0,10,10,1,1,5,5,1,1,3,3,3,501.0,498.0,497.0,500.0
36,36,7.2,9,9,1,1,5,5,1,1,2,2,3,501.0,498.0,497.0,500.0
37,37,7.4,10,9,2,1,5,5,1,1,2,2,3,501.0,498.0,497.0,500.0
38,38,7.6,10,9,2,1,5,5,1,1,2,2,4,501.0,498.0,497.0,500.0
39,39,7.8,11,10,2,1,5,5,1,1,3,3,4,501.0,498.0,497.0,500.0
40,40,8.0,12,11,2,1,5,5,2,2,3,3,4,501.0,498.0,497.0,500.0
41,41,8.2,11,10,2,1,5,5,1,1,3,3,4,501.0,498.0,497.0,500.0
42,42,8.4,11,10,2,1,5,5,1,1,3,3,4,501.0,498.0,497.0,500.0
43,43,8.6,12,11,2,1,5,5,1,1,4,4,4,501.0,498.0,497.0,500.0
44,44,8.8,12,11,2,1,5,5,1,1,4,4,4,501.0,498.0,497.0,500.0
45,45,9.0,12,11,2,1,5,5,1,1,4,4,4,501.0,498.0,497.0,500.0
46,46,9.2,12,11,2,1,5,5,1,1,4,4,4,501.0,498.0,497.0,500.0
47,47,9.4,12,11,2,1,5,5,2,2,3,3,4,501.0,498.0,497.0,500.0
48,48,9.6,11,10,2,1,5,5,1,1,3,3,4,501.0,498.0,497.0,500.0
49,49,9.8,11,10,2,1,5,5,1,1,3,3,4,501.0,498.0,497.0,500.0
